Empresa;Ticker;Setor;Cotação;Dividend Yield;P/L;Margem Líquida;Divida Líquida/EBIT;ROE;ROIC;Liquidez Média Diária;Posição
VULCABRAS/AZALEIA S.A.;VULC3;Calçados;13,75;33,5;4,67;24,89;0,86;35,06;9,43;13077989,59;1
LOJAS RIACHUELO S.A.;RIAA3;Tecidos, Vestuário e Calçados;7,06;34,35;2,32;14,35;0,55;28,35;27,2;10285128,95;2
BB SEGURIDADE PARTICIPAÇÕES S.A.;BBSE3;Seguradoras;37,34;17,47;7,9;;;84,38;;235490962,41;3
MOURA DUBEUX ENGENHARIA S/A;MDNE3;Incorporações;23,59;15,19;4,85;19,89;0,16;23,93;15,01;27449466,18;4
BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI11;Bancos;12,12;12,87;7,98;47,73;;19,7;;4317154,68;5
CURY CONSTRUTORA E INCORPORADORA S.A.;CURY3;Incorporações;30,63;13,77;8,85;18,37;-0,29;68,95;38,33;100228028,36;6
JHSF PARTICIPACOES S.A.;JHSF3;Incorporações;10,21;6,63;3,64;53,01;0,49;27,12;17,45;31455871,09;7
MARCOPOLO S.A.;POMO3;Material Rodoviário;3,95;26,01;4,12;13,19;1,37;28,32;12,74;9279634,27;8
MARCOPOLO S.A.;POMO4;Material Rodoviário;4,25;24,24;4,42;13,19;1,37;28,32;12,74;66489767,55;9
DIRECIONAL ENGENHARIA S.A.;DIRR3;Incorporações;10,43;14,83;6,49;18,16;0,68;39,35;17,45;86534266,55;10
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;LAVV3;Incorporações;9,25;27,94;4,98;19,91;1,22;24,9;12,34;5816676,05;11
BCO ABC BRASIL S.A.;ABCB4;Bancos;22,63;11,94;5,78;12,6;;14,05;;10566408,27;12
BCO PINE S.A.;PINE4;Bancos;11,02;8,75;5,41;10,22;;30,83;;12003666,36;13
ITAUSA INVESTIMENTOS ITAU S.A.;ITSA4;Bancos;12,46;10,63;8,22;203,02;;18,83;;241541895,0;14
ALLIED TECNOLOGIA S.A.;ALLD3;Eletrodomésticos;4,45;26,03;1,25;6,26;0,26;22,27;18,12;1204298,18;15
SCHULZ S.A.;SHUL4;Motores, Compressores e Outros;4,22;10,77;5,52;14,43;-0,65;17,86;8,48;2289288,36;16
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;PLPL3;Incorporações;6,45;7,62;3,91;9,84;0,18;31,56;17,29;15706934,14;17
WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZC3;Corretoras de Seguros;7,59;8,28;6,12;;;26,78;;2315223,55;18
CYRELA BRAZIL REALTY S.A.EMPREEND E PART;CYRE3;Incorporações;20,32;13,43;4,67;20,81;2,15;18,6;10,64;133011815,27;19
PETROLEO BRASILEIRO S.A. PETROBRAS;PETR4;Exploração, Refino e Distribuição;41,7;6,34;4,02;24,32;1,68;27,73;11,11;1541571870,45;20
BCO ESTADO DO RIO GRANDE DO SUL S.A;BRSR6;Bancos;13,19;12,05;3,06;7,76;;15,11;;14628149,91;21
ITAUSA INVESTIMENTOS ITAU S.A.;ITSA3;Bancos;12,65;10,46;8,35;203,02;;18,83;;1340853,09;22
MAHLE-METAL LEVE S.A.;LEVE3;Automóveis e Motocicletas;31,11;9,16;6,35;12,31;1,07;62,01;21,45;7702874,95;23
LOG COMMERCIAL PROPERTIES;LOGG3;Exploração de Imóveis;23,35;28,75;5,49;141,69;2,83;10,63;10,0;10321269,18;24
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;INTB3;Computadores e Equipamentos;14,22;8,45;7,81;13,11;-1,11;18,07;11,97;24816869,05;25
TEGMA GESTAO LOGISTICA S.A.;TGMA3;Transporte Rodoviário;33,18;10,98;8,59;10,14;0,08;25,55;12,62;8215356,86;26
ITAU UNIBANCO HOLDING S.A.;ITUB4;Bancos;38,53;9,22;9,06;12,13;;21,5;;822972460,82;27
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;TAEE3;Energia Elétrica;12,5;8,74;8,24;33,52;3,75;19,7;13,41;1462556,09;28
UNIFIQUE TELECOMUNICAÇÕES S.A.;FIQE3;Telecomunicações;5,14;14,62;9,13;17,91;0,91;19,07;8,22;3973752,82;29
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;TAEE11;Energia Elétrica;37,93;8,63;8,34;33,52;3,75;19,7;13,41;76334500,73;30
VALID SOLUÇÕES S.A.;VLID3;Serviços Diversos;16,33;11,43;5,77;11,15;0,48;13,18;10,42;3965401,86;31
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;TAEE4;Energia Elétrica;12,75;8,55;8,43;33,52;3,75;19,7;13,41;2803822,73;32
