Ação;Cotação;Dividend Yield (%);DPA (12m);Preço Teto;Margem Segurança (%)
PPAR3;14,6;80,13;11,7;194,98;1235,5
SCAR3;12,96;54,79;7,1;118,35;813,17
HBRE3;2,34;49,8;1,17;19,42;730,0
BMKS3;385,0;33,87;130,4;2173,32;464,5
GRND3;3,89;33,83;1,32;21,93;463,83
JSLG3;5,68;33,83;1,92;32,03;463,83
VULC3;14,3;32,97;4,71;78,58;449,5
RIAA3;8,87;28,8;2,55;42,58;380,0
LOGG3;26,08;26,68;6,96;115,97;344,67
ALLD3;4,62;25,08;1,16;19,31;318,0
ENJU3;0,82;24,59;0,2;3,36;309,83
BALM4;16,99;23,54;4,0;66,66;292,33
LAVV3;11,3;22,81;2,58;42,96;280,17
SOND3;38,66;22,14;8,56;142,66;269,0
CGRA3;24,5;20,78;5,09;84,85;246,33
CGRA4;24,51;20,77;5,09;84,85;246,17
MOAR3;61,21;20,64;12,63;210,56;244,0
BAZA3;59,7;20,01;11,95;199,1;233,5
POMO3;5,21;19,73;1,03;17,13;228,83
POMO4;5,62;18,29;1,03;17,13;204,83
ARML3;3,55;17,49;0,62;10,35;191,5
MBRF3;16,09;17,41;2,8;46,69;190,17
TRIS3;4,22;16,58;0,7;11,66;176,33
UNIP6;62,33;16,37;10,2;170,06;172,83
CEBR3;24,5;16,09;3,94;65,7;168,17
CEBR5;24,5;16,09;3,94;65,7;168,17
EVEN3;5,73;16,02;0,92;15,3;167,0
UNIP5;63,98;15,91;10,18;169,65;165,17
CSUD3;14,9;15,8;2,35;39,24;163,33
UNIP3;59,48;15,56;9,26;154,25;159,33
GEPA3;32,9;15,53;5,11;85,16;158,83
BALM3;26,0;15,38;4,0;66,65;156,33
CEBR6;28,52;15,2;4,34;72,25;153,33
LPSB3;1,49;14,91;0,22;3,7;148,5
CEEB5;42,6;13,7;5,84;97,27;128,33
BGIP4;33,26;13,52;4,5;74,95;125,33
MDNE3;26,78;13,39;3,59;59,76;123,17
EKTR4;39,2;13,18;5,17;86,11;119,67
