Ação;Cotação;VPA;LPA;Valor Intrínseco;Margem de Segurança (%)
CORR3;2,71;201,49;307,95;1181,57;43500,23
APTI3;197,64;13019,79;551,44;12709,91;6330,84
LIGT3;3,15;22,34;7,02;59,4;1785,78
CATA3;103,61;1405,93;81,36;1604,27;1448,38
CORR4;82,0;201,49;307,95;1181,57;1340,93
PPAR3;14,6;148,64;12,04;200,67;1274,42
TRAD3;1,12;2,55;2,18;11,18;898,55
AMER3;3,75;22,12;2,77;37,13;890,13
MOSI3;8,24;59,43;3,79;71,19;763,95
ALLD3;4,62;16,02;3,57;35,87;676,45
MGEL4;5,27;8,8;7,39;38,25;625,85
COCE6;12,83;64,97;5,85;92,48;620,77
BSLI3;3,0;8,2;1,66;17,5;483,35
BSLI4;3,02;8,2;1,66;17,5;479,49
MNPR3;3,96;2,83;7,19;21,4;440,32
ELPL3;8,31;25,29;2,78;39,77;378,62
VVEO3;0,6;5,83;0,06;2,81;367,57
HBRE3;2,38;17,54;0,29;10,7;349,5
APTI4;2930,92;13019,79;551,44;12709,91;333,65
DMMO3;1,76;4,29;0,57;7,42;321,45
EQPA3;5,43;2,52;8,71;22,22;309,26
ETER3;3,77;13,45;0,77;15,27;304,91
HBTS5;32,38;71,98;9,21;122,13;277,18
BRSR6;14,47;28,5;4,31;52,57;263,32
MTRE3;3,13;9,63;0,58;11,21;258,16
BAZA3;59,7;128,13;15,08;208,51;249,26
FIGE3;33,0;80,7;6,83;111,36;237,46
EQPA6;6,59;2,52;8,71;22,22;237,22
VSTE3;2,96;9,41;0,45;9,76;229,76
AZZA3;18,85;38,77;4,03;59,29;214,54
BNBR3;113,25;168,19;32,73;351,94;210,76
BRSR5;17,02;28,5;4,31;52,57;208,88
COCE5;30,0;64,97;5,85;92,48;208,25
SOMA3;5,95;7,4;2,01;18,29;207,46
BRSR3;17,45;28,5;4,31;52,57;201,27
AHEB3;22,2;34,23;5,8;66,84;201,06
RIAA3;8,89;10,59;3,0;26,74;200,74
BMKS3;385,0;454,44;130,97;1157,22;200,58
COGN3;2,33;6,59;0,33;7,0;200,22
NUTR3;2,32;3,77;0,55;6,83;194,41
NAFG4;19,02;23,3;5,46;53,5;181,29
CAMB4;6,25;7,56;1,63;16,65;166,42
EVEN3;5,75;9,64;1,08;15,31;166,18
MELK3;3,17;5,22;0,6;8,39;164,82
EALT4;11,9;16,22;2,6;30,8;158,85
ROMI3;6,11;13,33;0,83;15,78;158,23
COCE3;36,0;64,97;5,85;92,48;156,88
RPAD6;6,5;12,08;1,02;16,65;156,16
RPAD3;6,5;12,08;1,02;16,65;156,16
LOGG3;26,0;42,59;4,58;66,25;154,8
TRIS3;4,19;6,09;0,79;10,4;148,31
MLAS3;1,74;3,76;0,22;4,31;147,94
SOND3;38,66;29,12;13,78;95,02;145,78
BGIP4;33,26;42,07;6,94;81,05;143,69
EUCA3;23,15;31,79;4,42;56,23;142,88
EALT3;12,74;16,22;2,6;30,8;141,79
EUCA4;23,5;31,79;4,42;56,23;139,27
CALI3;25,75;28,79;5,86;61,61;139,27
CSRN3;13,6;10,87;4,32;32,5;139,01
JHSF3;10,71;10,33;2,8;25,51;138,19
RPAD5;7,0;12,08;1,02;16,65;137,86
BMGB4;5,34;7,68;0,91;12,54;134,83
LUXM4;2,89;4,14;0,49;6,76;133,77
RECV3;10,43;14,3;1,82;24,2;132,01
ANIM3;2,87;5,92;0,33;6,63;131,01
EQPA7;9,72;2,52;8,71;22,22;128,63
EZTC3;12,73;18,57;2,02;29,05;128,22
GMAT3;3,96;4,75;0,75;8,95;126,09
BRML3;8,26;14,96;1,02;18,53;124,32
CYRE4;21,4;23,42;4,36;47,93;123,98
JOPA4;18,01;57,96;1,23;40,05;122,38
BMIN4;17,94;30,06;2,35;39,87;122,23
BPAT33;44,05;66,71;6,31;97,32;120,93
BBAS3;20,59;33,45;2,74;45,41;120,55
JOPA3;18,2;57,96;1,23;40,05;120,06
SMTO3;16,12;22,15;2,52;35,44;119,84
EQPA5;10,18;2,52;8,71;22,22;118,3
LPSB3;1,46;1,61;0,28;3,18;118,14
CEAB3;10,48;12,01;1,9;22,66;116,21
CSRN5;15,1;10,87;4,32;32,5;115,26
IGTI3;3,41;4,04;0,59;7,32;114,76
SUZB3;41,11;38,0;9,0;87,72;113,38
CAML3;5,39;8,62;0,67;11,4;111,49
RSUL4;49,99;47,32;10,34;104,92;109,89
PFRM3;6,86;10,83;0,85;14,39;109,79
CSRN6;15,5;10,87;4,32;32,5;109,71
VLID3;18,31;21,47;3,05;38,38;109,64
CGRA3;24,35;34,71;3,33;51,0;109,43
CYRE3;22,96;23,42;4,36;47,93;108,76
CSED3;4,19;4,53;0,75;8,74;108,67
CGRA4;24,51;34,71;3,33;51,0;108,06
DEXP4;7,25;8,55;1,16;14,94;106,05
DMVF3;6,75;18,2;0,47;13,87;105,53
DEXP3;7,27;8,55;1,16;14,94;105,48
RANI4;5,5;6,38;0,88;11,24;104,35
TELB4;7,36;16,3;0,61;14,96;103,22
SBFG3;10,3;13,39;1,45;20,9;102,92
ABCB4;24,06;27,43;3,86;48,81;102,86
MYPK3;9,33;26,66;0,59;18,81;101,63
PETR4;40,66;34,54;8,35;80,56;98,12
SANB3;13,43;16,86;1,74;25,69;91,3
GRND3;3,9;3,52;0,7;7,45;90,92
SANB11;27,34;33,71;3,49;51,45;88,18
MDIA3;18,03;24,66;2,06;33,81;87,51
SHUL4;4,59;4,28;0,76;8,55;86,38
BMIN3;21,49;30,06;2,35;39,87;85,52
SANB4;13,95;16,86;1,74;25,69;84,17
ESPA3;8,44;24,05;0,44;15,43;82,82
PGMN3;3,63;4,62;0,42;6,61;82,02
SEER3;12,09;11,01;1,92;21,81;80,39
