Ação;Cotação;P/L;Dividend Yield (%);ROE (%);Indicador Lynch;Classificação
ALLD3;4,62;1,3;25,08;22,27;21,6;Muito Barata
BMKS3;385,0;2,94;33,78;28,82;12,51;Muito Barata
MNPR3;3,96;0,55;3,28;254,09;11,42;Muito Barata
RIAA3;8,89;2,96;28,64;28,33;10,69;Muito Barata
SOND3;38,66;2,81;22,14;47,32;8,95;Muito Barata
VULC3;14,34;4,0;32,81;45,47;8,95;Muito Barata
EQPA3;5,43;0,62;2,48;345,77;8,84;Muito Barata
BSLI4;3,02;1,82;10,6;20,28;7,47;Muito Barata
BSLI3;3,0;1,81;9,7;20,28;7,02;Muito Barata
EQPA6;6,59;0,76;2,04;345,77;6,63;Muito Barata
GRND3;3,9;5,55;33,74;19,96;6,62;Muito Barata
LAVV3;11,29;5,56;22,79;29,03;4,64;Muito Barata
POMO3;5,2;5,21;19,81;30,72;4,38;Muito Barata
BRSR6;14,47;3,36;10,97;15,11;4,16;Muito Barata
EQPA7;9,72;1,12;1,38;345,77;3,91;Muito Barata
POMO4;5,62;5,63;18,33;30,72;3,79;Muito Barata
EQPA5;10,18;1,17;1,32;345,77;3,69;Muito Barata
LPSB3;1,46;5,23;15,21;17,29;3,48;Muito Barata
BGIP4;33,26;4,79;13,52;16,51;3,45;Muito Barata
BRSR5;17,02;3,95;9,54;15,11;3,17;Muito Barata
CSUD3;14,99;6,16;15,7;21,28;3,04;Muito Barata
BRSR3;17,45;4,05;9,09;15,11;2,99;Muito Barata
MDNE3;26,8;5,52;13,35;23,93;2,96;Muito Barata
CYRE3;22,96;5,27;11,89;18,6;2,83;Muito Barata
CEEB5;42,6;5,96;13,7;23,08;2,8;Muito Barata
CAMB3;9,4;5,76;13,01;21,59;2,78;Muito Barata
SOND5;77,09;5,6;12,21;47,32;2,72;Muito Barata
BNBR3;113,25;3,46;6,2;19,46;2,66;Muito Barata
CSED3;4,19;5,62;11,59;16,46;2,6;Muito Barata
SOND6;79,98;5,81;11,77;47,32;2,54;Muito Barata
JHSF3;10,71;3,82;5,96;27,12;2,35;Muito Barata
CEEB3;47,13;6,6;12,38;23,08;2,33;Muito Barata
SHUL4;4,59;6,01;9,9;17,86;2,15;Muito Barata
PINE3;11,95;5,82;9,12;30,83;2,08;Muito Barata
PINE4;12,37;6,02;8,81;30,83;1,96;Barata
PETR4;40,66;4,87;6,49;24,17;1,95;Barata
EKTR4;39,2;8,49;13,18;39,34;1,91;Barata
GEPA3;32,9;10,03;15,53;22,84;1,85;Barata
DIRR3;12,99;8,07;11,93;39,35;1,85;Barata
LEVE3;32,05;6,54;8,89;62,01;1,82;Barata
TGMA3;30,83;8,55;12,46;26,13;1,81;Barata
CEBR3;24,5;10,58;16,09;17,65;1,8;Barata
CEBR5;24,5;10,58;16,09;17,65;1,8;Barata
PLPL3;8,3;5,04;5,91;31,56;1,77;Barata
BBSE3;40,39;8,53;11,26;72,72;1,67;Barata
CEEB6;60,68;8,5;10,58;23,08;1,6;Barata
CURY3;33,59;9,72;12,54;68,95;1,6;Barata
BEEF3;3,72;5,23;5,26;56,47;1,58;Barata
INTB3;13,06;7,44;8,64;18,29;1,56;Barata
CMIG4;11,2;6,63;7,35;16,75;1,56;Barata
PETR3;45,48;5,45;5,1;24,17;1,49;Justo
CALI3;25,75;4,4;3,51;20,34;1,48;Justo
CEBR6;28,5;12,31;15,21;17,65;1,48;Justo
WIZC3;8,52;7,01;7,38;28,26;1,48;Justo
CEAB3;10,48;5,53;4,98;15,79;1,44;Justo
BRFS3;17,95;10,21;11,62;19,69;1,43;Justo
BGIP3;48,08;6,92;6,9;16,51;1,43;Justo
BRBI11;15,06;9,32;10,36;21,38;1,43;Justo
EALT3;12,74;4,9;3,77;16,02;1,38;Justo
FIQE3;5,88;10,53;11,37;19,07;1,36;Justo
ITSA3;13,93;9,2;9,5;18,83;1,36;Justo
ITSA4;13,9;9,18;9,52;18,83;1,36;Justo
CGAS5;124,15;10,69;10,73;89,41;1,28;Justo
SUZB3;41,11;4,57;2,73;23,68;1,25;Justo
TAEE3;13,63;8,98;8,01;19,7;1,23;Justo
KEPL3;6,55;7,96;6,61;18,67;1,21;Justo
TAEE11;41,26;9,06;7,94;19,7;1,21;Justo
TAEE4;13,92;9,17;7,85;19,7;1,18;Justo
CGAS3;125,1;10,77;9,68;89,41;1,18;Justo
GEPA4;37,99;11,59;10,69;22,84;1,18;Justo
MILS3;15,49;8,44;6,86;24,19;1,17;Justo
CPFE3;47,2;9,44;7,91;23,72;1,16;Justo
GMAT3;3,96;5,27;3,0;15,83;1,14;Justo
EALT4;11,9;4,58;2,24;16,02;1,14;Justo
EKTR3;51,52;11,15;9,11;39,34;1,09;Justo
OFSA3;26,8;5,98;3,47;29,59;1,08;Justo
UNIP3;59,48;17,96;15,56;20,01;1,03;Justo
UNIP6;62,22;18,79;16,36;20,01;1,03;Justo
ITUB4;43,63;10,46;7,33;21,93;0,99;Cara
UNIP5;63,98;19,32;15,91;20,01;0,98;Cara
ENMT3;35,61;10,67;7,39;18,68;0,97;Cara
BMOB3;23,54;12,62;9,07;16,39;0,96;Cara
LREN3;14,29;9,63;6,29;14,41;0,96;Cara
TECN3;9,46;7,84;4,34;16,78;0,94;Cara
ECOR3;7,82;7,47;3,95;17,81;0,93;Cara
TEND3;34,6;7,03;3,56;44,45;0,93;Cara
ITUB3;45,75;10,97;6,99;21,93;0,91;Cara
PSSA3;54,29;9,53;5,55;23,7;0,9;Cara
IGTI3;3,41;5,77;2,12;14,63;0,89;Cara
ENMT4;37,68;11,3;6,99;18,68;0,88;Cara
RDOR3;36,05;17,5;11,79;23,35;0,85;Cara
CMIN3;5,1;12,43;7,56;31,49;0,85;Cara
CMIG3;16,38;9,69;5,03;16,75;0,83;Cara
BMEB3;50,11;7,71;3,41;26,89;0,83;Cara
ALPA3;9,4;10,37;5,23;17,9;0,79;Cara
SEER3;12,09;6,31;1,98;17,4;0,79;Cara
REDE3;5,81;13,15;7,16;18,19;0,77;Cara
MRSA6B;34,3;8,58;3,35;15,47;0,74;Cara
ABEV3;15,81;16,0;8,27;17,28;0,7;Cara
MRSA5B;36,01;9,01;3,2;15,47;0,69;Cara
UGPA3;30,11;11,21;4,32;18,19;0,65;Cara
BMEB4;62,1;9,56;3,02;26,89;0,63;Cara
VIVA3;23,43;9,46;2,98;19,31;0,63;Cara
MOTV3;15,15;9,1;2,56;20,58;0,61;Cara
CXSE3;22,11;15,1;5,92;31,89;0,59;Cara
MRSA3B;39,8;9,96;2,63;15,47;0,57;Cara
ALPA4;12,25;13,51;4,42;17,9;0,55;Cara
CLSC3;127,3;6,75;0,55;17,57;0,53;Cara
EGIE3;32,27;14,37;4,52;18,86;0,52;Cara
CLSC4;138,59;7,35;0,57;17,57;0,49;Cara
MULT3;29,62;12,43;2,83;18,89;0,47;Cara
B3SA3;15,33;15,61;3,97;27,15;0,45;Cara
WHRL3;3,87;17,71;5,05;17,12;0,45;Cara
WHRL4;4,05;18,53;5,21;17,12;0,44;Cara
BPAC5;18,4;12,19;2,26;22,52;0,43;Cara
IGTI11;26,2;14,78;3,41;14,63;0,43;Cara
SBSP3;30,34;12,25;2,29;19,97;0,43;Cara
BPAC11;57,95;12,82;2,15;22,52;0,4;Cara
TTEN3;15,42;10,84;1,18;14,93;0,39;Cara
GGPS3;12,96;14,76;2,51;16,03;0,37;Cara
PASS3;25,2;14,56;2,25;21,58;0,36;Cara
TIMS3;23,09;27,49;6,87;16,69;0,36;Cara
CSMG3;66,1;18,55;3,32;15,46;0,34;Cara
BPAC3;23,12;15,34;1,8;22,52;0,31;Cara
TOTS3;28,72;18,59;2,37;18,65;0,29;Cara
IGTI4;11,35;19,21;1,91;14,63;0,26;Cara
RADL3;18,6;25,18;2,39;17,6;0,21;Cara
WEGE3;44,2;29,51;3,06;35,43;0,21;Cara
SHUL3;27,31;35,74;1,51;17,86;0,13;Cara
SAUD3;15,35;79,45;5,17;39,45;0,1;Cara
TFCO4;15,13;99,37;1,56;24,39;0,05;Cara
