Ação;Cotação;VPA;LPA;Valor Intrínseco;Margem de Segurança (%)
CORR3;2,71;201,49;307,95;1181,57;43500,23
APTI3;197,64;13019,79;551,44;12709,91;6330,84
LIGT3;3,29;22,34;7,02;59,4;1705,53
CATA3;103,61;1405,93;81,36;1604,27;1448,38
CORR4;82,0;201,49;307,95;1181,57;1340,93
PPAR3;14,6;148,64;12,04;200,67;1274,42
TRAD3;1,12;2,55;2,18;11,18;898,55
AMER3;3,73;22,12;2,77;37,13;895,44
MOSI3;8,24;59,43;3,79;71,19;763,95
ALLD3;4,53;16,02;3,57;35,87;691,88
MGEL4;5,28;8,8;7,39;38,25;624,47
COCE6;12,83;64,97;5,85;92,48;620,77
BSLI3;3,0;8,2;1,66;17,5;483,35
BSLI4;3,03;8,2;1,66;17,5;477,58
MNPR3;3,94;2,83;7,19;21,4;443,07
VVEO3;0,58;5,83;0,06;2,81;383,7
ELPL3;8,31;25,29;2,78;39,77;378,62
HBRE3;2,26;17,54;0,29;10,7;373,37
APTI4;2930,92;13019,79;551,44;12709,91;333,65
DMMO3;1,76;4,29;0,57;7,42;321,45
EQPA3;5,38;2,52;8,71;22,22;313,06
ETER3;3,78;13,45;0,77;15,27;303,84
HBTS5;32,38;71,98;9,21;122,13;277,18
BRSR6;14,36;28,5;4,31;52,57;266,1
MTRE3;3,12;9,63;0,58;11,21;259,31
BAZA3;59,49;128,13;15,08;208,51;250,49
ANIM3;1,95;5,92;0,33;6,63;240,0
VSTE3;2,88;9,41;0,45;9,76;238,92
FIGE3;33,0;80,7;6,83;111,36;237,46
EQPA6;6,59;2,52;8,71;22,22;237,22
AZZA3;18,59;38,77;4,03;59,29;218,94
RIAA3;8,58;10,59;3,0;26,74;211,61
BNBR3;113,0;168,19;32,73;351,94;211,45
BRSR5;17,02;28,5;4,31;52,57;208,88
COGN3;2,27;6,59;0,33;7,0;208,15
SOMA3;5,95;7,4;2,01;18,29;207,46
NUTR3;2,24;3,77;0,55;6,83;204,93
BMKS3;382,0;454,44;130,97;1157,22;202,94
COCE5;30,6;64,97;5,85;92,48;202,21
BRSR3;17,6;28,5;4,31;52,57;198,7
NAFG4;19,02;23,3;5,46;53,5;181,29
EVEN3;5,45;9,64;1,08;15,31;180,83
AHEB3;23,9;34,23;5,8;66,84;179,65
MELK3;3,02;5,22;0,6;8,39;177,97
CAMB4;6,25;7,56;1,63;16,65;166,42
EALT4;11,74;16,22;2,6;30,8;162,38
ROMI3;6,04;13,33;0,83;15,78;161,22
COCE3;36,0;64,97;5,85;92,48;156,88
RPAD6;6,5;12,08;1,02;16,65;156,16
RPAD3;6,5;12,08;1,02;16,65;156,16
TRIS3;4,09;6,09;0,79;10,4;154,38
LOGG3;26,06;42,59;4,58;66,25;154,22
MLAS3;1,7;3,76;0,22;4,31;153,77
CAML3;4,52;8,62;0,67;11,4;152,2
SOND3;38,66;29,12;13,78;95,02;145,78
BGIP4;33,26;42,07;6,94;81,05;143,69
EUCA3;23,15;31,79;4,42;56,23;142,88
EALT3;12,7;16,22;2,6;30,8;142,55
EUCA4;23,43;31,79;4,42;56,23;139,98
CALI3;25,75;28,79;5,86;61,61;139,27
CSRN3;13,6;10,87;4,32;32,5;139,01
RPAD5;7,0;12,08;1,02;16,65;137,86
EZTC3;12,25;18,57;2,02;29,05;137,16
JHSF3;10,76;10,33;2,8;25,51;137,09
BMGB4;5,34;7,68;0,91;12,54;134,83
LUXM4;2,88;4,14;0,49;6,76;134,58
RECV3;10,34;14,3;1,82;24,2;134,03
EQPA7;9,72;2,52;8,71;22,22;128,63
SMTO3;15,52;22,15;2,52;35,44;128,34
CYRE4;21,06;23,42;4,36;47,93;127,6
GMAT3;3,96;4,75;0,75;8,95;126,09
BRML3;8,26;14,96;1,02;18,53;124,32
JOPA4;18,01;57,96;1,23;40,05;122,38
BMIN4;17,94;30,06;2,35;39,87;122,23
CSED3;3,95;4,53;0,75;8,74;121,35
BPAT33;44,05;66,71;6,31;97,32;120,93
CEAB3;10,29;12,01;1,9;22,66;120,2
JOPA3;18,2;57,96;1,23;40,05;120,06
BBAS3;20,64;33,45;2,74;45,41;120,02
RSUL4;47,89;47,32;10,34;104,92;119,09
EQPA5;10,18;2,52;8,71;22,22;118,3
CSRN5;15,1;10,87;4,32;32,5;115,26
PFRM3;6,7;10,83;0,85;14,39;114,8
LPSB3;1,49;1,61;0,28;3,18;113,75
IGTI3;3,43;4,04;0,59;7,32;113,51
CYRE3;22,54;23,42;4,36;47,93;112,65
VLID3;18,08;21,47;3,05;38,38;112,3
SUZB3;41,59;38,0;9,0;87,72;110,92
CSRN6;15,5;10,87;4,32;32,5;109,71
CGRA4;24,4;34,71;3,33;51,0;109,0
SBFG3;10,04;13,39;1,45;20,9;108,18
DEXP3;7,2;8,55;1,16;14,94;107,48
DEXP4;7,23;8,55;1,16;14,94;106,62
ABCB4;23,88;27,43;3,86;48,81;104,39
CGRA3;24,95;34,71;3,33;51,0;104,39
RANI4;5,5;6,38;0,88;11,24;104,35
MYPK3;9,23;26,66;0,59;18,81;103,82
DMVF3;6,81;18,2;0,47;13,87;103,72
TELB4;7,47;16,3;0,61;14,96;100,23
PETR4;40,68;34,54;8,35;80,56;98,02
SANB3;13,32;16,86;1,74;25,69;92,88
GRND3;3,89;3,52;0,7;7,45;91,41
MDIA3;17,81;24,66;2,06;33,81;89,83
SHUL4;4,51;4,28;0,76;8,55;89,69
SANB11;27,16;33,71;3,49;51,45;89,43
PGMN3;3,54;4,62;0,42;6,61;86,65
BMIN3;21,49;30,06;2,35;39,87;85,52
SANB4;13,91;16,86;1,74;25,69;84,7
ESPA3;8,38;24,05;0,44;15,43;84,13
ISAE4;27,85;32,52;3,56;51,04;83,26
WLMM4;18,11;21,78;2,18;32,68;80,48
