Ação;Cotação;P/L;Dividend Yield (%);ROE (%);Indicador Lynch;Classificação
ALLD3;4,54;1,27;25,52;22,27;22,46;Muito Barata
BMKS3;382,01;2,92;34,05;28,82;12,69;Muito Barata
MNPR3;3,96;0,55;3,28;254,09;11,42;Muito Barata
RIAA3;8,72;2,9;29,23;28,33;11,11;Muito Barata
VULC3;14,2;3,96;33,15;45,47;9,13;Muito Barata
EQPA3;5,3;0,61;2,54;345,77;9,08;Muito Barata
SOND3;38,66;2,81;22,14;47,32;8,95;Muito Barata
BSLI4;3,02;1,82;10,6;20,28;7,47;Muito Barata
BSLI3;3,03;1,82;9,61;20,28;6,93;Muito Barata
GRND3;3,87;5,52;33,92;19,96;6,69;Muito Barata
EQPA6;6,59;0,76;2,04;345,77;6,63;Muito Barata
LAVV3;11,23;5,52;22,93;29,03;4,7;Muito Barata
POMO3;5,12;5,12;20,16;30,72;4,52;Muito Barata
BRSR6;14,35;3,33;11,06;15,11;4,22;Muito Barata
POMO4;5,5;5,49;18,8;30,72;3,97;Muito Barata
EQPA7;9,72;1,12;1,38;345,77;3,91;Muito Barata
EQPA5;10,18;1,17;1,32;345,77;3,69;Muito Barata
LPSB3;1,46;5,23;15,21;17,29;3,48;Muito Barata
BGIP4;33,26;4,79;13,52;16,51;3,45;Muito Barata
BRSR5;17,02;3,95;9,54;15,11;3,17;Muito Barata
CSUD3;14,78;6,07;15,92;21,28;3,12;Muito Barata
BRSR3;17,62;4,11;8,97;15,11;2,91;Muito Barata
MDNE3;27,09;5,57;13,22;23,93;2,91;Muito Barata
CYRE3;22,86;5,24;11,96;18,6;2,85;Muito Barata
CAMB3;9,34;5,73;13,09;21,59;2,81;Muito Barata
CSED3;4,01;5,39;12,08;16,46;2,8;Muito Barata
CEEB5;42,6;5,96;13,7;23,08;2,8;Muito Barata
SOND5;77,09;5,6;12,21;47,32;2,72;Muito Barata
BNBR3;113,25;3,46;6,2;19,46;2,66;Muito Barata
SOND6;79,98;5,81;11,77;47,32;2,54;Muito Barata
JHSF3;10,75;3,82;5,96;27,12;2,35;Muito Barata
CEEB3;47,13;6,6;12,38;23,08;2,33;Muito Barata
PINE3;11,6;5,58;9,51;30,83;2,24;Muito Barata
SHUL4;4,54;5,95;9,99;17,86;2,18;Muito Barata
PINE4;12,08;5,88;9,02;30,83;2,04;Muito Barata
PETR4;40,56;4,87;6,5;24,17;1,95;Barata
EKTR4;39,2;8,49;13,18;39,34;1,91;Barata
DIRR3;12,94;8,02;12,01;39,35;1,87;Barata
GEPA3;32,9;10,03;15,53;22,84;1,85;Barata
TGMA3;30,69;8,5;12,52;26,13;1,83;Barata
LEVE3;31,94;6,52;8,92;62,01;1,83;Barata
CEBR5;24,51;10,58;16,08;17,65;1,8;Barata
CEBR3;24,87;10,74;15,85;17,65;1,76;Barata
PLPL3;8,35;5,08;5,87;31,56;1,75;Barata
BBSE3;40,21;8,49;11,32;72,72;1,69;Barata
CURY3;33,54;9,66;12,62;68,95;1,62;Barata
BEEF3;3,68;5,17;5,32;56,47;1,61;Barata
CEEB6;60,68;8,5;10,58;23,08;1,6;Barata
INTB3;12,99;7,4;8,69;18,29;1,58;Barata
CMIG4;11,1;6,57;7,41;16,75;1,58;Barata
WIZC3;8,49;6,99;7,41;28,26;1,49;Justo
PETR3;45,35;5,45;5,1;24,17;1,49;Justo
CALI3;25,75;4,4;3,51;20,34;1,48;Justo
CEBR6;28,57;12,34;15,17;17,65;1,47;Justo
CEAB3;10,41;5,48;5,02;15,79;1,46;Justo
BRFS3;17,95;10,21;11,62;19,69;1,43;Justo
BGIP3;48,29;6,95;6,87;16,51;1,42;Justo
BRBI11;15,14;9,37;10,3;21,38;1,42;Justo
FIQE3;5,83;10,42;11,49;19,07;1,39;Justo
EALT3;12,74;4,9;3,77;16,02;1,38;Justo
ITSA4;13,9;9,16;9,53;18,83;1,37;Justo
ITSA3;13,9;9,18;9,52;18,83;1,36;Justo
CGAS5;124,15;10,69;10,73;89,41;1,28;Justo
TAEE3;13,49;8,89;8,09;19,7;1,25;Justo
TAEE11;40,91;8,98;8,02;19,7;1,23;Justo
SUZB3;41,81;4,65;2,68;23,68;1,22;Justo
TAEE4;13,73;9,04;7,97;19,7;1,21;Justo
KEPL3;6,63;8,05;6,54;18,67;1,19;Justo
CGAS3;125,1;10,77;9,68;89,41;1,18;Justo
GEPA4;37,99;11,59;10,69;22,84;1,18;Justo
MILS3;15,46;8,43;6,87;24,19;1,17;Justo
CPFE3;47,13;9,42;7,92;23,72;1,16;Justo
EALT4;11,9;4,58;2,24;16,02;1,14;Justo
GMAT3;3,98;5,3;2,99;15,83;1,13;Justo
OFSA3;26,51;5,92;3,51;29,59;1,1;Justo
EKTR3;51,52;11,15;9,11;39,34;1,09;Justo
UNIP3;58,5;17,61;15,87;20,01;1,07;Justo
UNIP6;61,94;18,71;16,43;20,01;1,04;Justo
ITUB4;43,29;10,38;7,39;21,93;1,0;Justo
UNIP5;63,98;19,32;15,91;20,01;0,98;Cara
LREN3;14,13;9,52;6,37;14,41;0,98;Cara
BMOB3;23,31;12,5;9,16;16,39;0,97;Cara
TEND3;34,16;6,93;3,62;44,45;0,96;Cara
ENMT3;35,99;10,79;7,31;18,68;0,96;Cara
ECOR3;7,73;7,38;3,99;17,81;0,95;Cara
TECN3;9,43;7,82;4,35;16,78;0,94;Cara
ITUB3;45,51;10,89;7,04;21,93;0,92;Cara
PSSA3;54,42;9,54;5,54;23,7;0,9;Cara
ENMT4;37,68;11,3;6,99;18,68;0,88;Cara
IGTI3;3,44;5,82;2,1;14,63;0,88;Cara
CMIN3;5,12;12,43;7,56;31,49;0,85;Cara
CMIG3;16,34;9,67;5,04;16,75;0,83;Cara
RDOR3;36,26;17,62;11,71;23,35;0,83;Cara
BMEB3;50,38;7,76;3,39;26,89;0,82;Cara
ALPA3;9,2;10,15;5,35;17,9;0,82;Cara
SEER3;12,12;6,33;1,97;17,4;0,79;Cara
REDE3;5,8;13,13;7,17;18,19;0,77;Cara
MRSA6B;34,3;8,58;3,35;15,47;0,74;Cara
ABEV3;15,5;15,71;8,42;17,28;0,73;Cara
MRSA5B;36,01;9,01;3,2;15,47;0,69;Cara
VIVA3;23,31;9,39;3,0;19,31;0,64;Cara
UGPA3;30,59;11,39;4,25;18,19;0,64;Cara
MOTV3;15,12;9,09;2,56;20,58;0,61;Cara
BMEB4;63,74;9,76;2,95;26,89;0,61;Cara
CXSE3;21,91;14,97;5,98;31,89;0,6;Cara
MRSA3B;39,8;9,96;2,63;15,47;0,57;Cara
ALPA4;12,12;13,35;4,47;17,9;0,56;Cara
EGIE3;31,16;13,89;4,67;18,86;0,55;Cara
CLSC3;127,3;6,75;0,55;17,57;0,53;Cara
CLSC4;138,58;7,35;0,57;17,57;0,49;Cara
MULT3;29,53;12,38;2,84;18,89;0,47;Cara
WHRL3;3,87;17,71;5,05;17,12;0,45;Cara
WHRL4;4,01;18,35;5,27;17,12;0,45;Cara
IGTI11;26,23;14,8;3,41;14,63;0,43;Cara
B3SA3;15,62;15,87;3,9;27,15;0,43;Cara
BPAC5;18,43;12,23;2,26;22,52;0,43;Cara
SBSP3;30,3;12,21;2,3;19,97;0,43;Cara
BPAC11;57,69;12,76;2,16;22,52;0,4;Cara
TTEN3;15,3;10,7;1,2;14,93;0,39;Cara
GGPS3;12,93;14,7;2,52;16,03;0,38;Cara
TIMS3;22,72;27,06;6,98;16,69;0,37;Cara
PASS3;25,01;14,45;2,27;21,58;0,36;Cara
CSMG3;65,59;18,39;3,34;15,46;0,34;Cara
BPAC3;22,9;15,19;1,82;22,52;0,32;Cara
TOTS3;28,9;18,68;2,36;18,65;0,29;Cara
IGTI4;11,35;19,21;1,91;14,63;0,26;Cara
RADL3;18,55;25,18;2,39;17,6;0,21;Cara
WEGE3;43,58;29,07;3,11;35,43;0,21;Cara
SHUL3;27,31;35,74;1,51;17,86;0,13;Cara
SAUD3;15,21;78,67;5,22;39,45;0,1;Cara
TFCO4;15,07;98,78;1,57;24,39;0,05;Cara
